atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
51,Sb,antimony,121Sb,123Sb,123,122.904215292,1.456e-06,2020,AME2020,0.4279,,,0.0005,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,120Te,120,119.904065779,1.88e-06,2020,AME2020,0.0009,,,0.0001,value,CIAAW 2024,CIAAW 2024,g
52,Te,tellurium,130Te,122Te,122,121.903044708,1.456e-06,2020,AME2020,0.0255,,,0.0012000000000000001,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,123Te,123,122.904271022,1.454e-06,2020,AME2020,0.0089,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,124Te,124,123.902818341,1.451e-06,2020,AME2020,0.0474,,,0.0014,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,125Te,125,124.904431178,1.451e-06,2020,AME2020,0.0707,,,0.0015,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,126Te,126,125.903312144,1.453e-06,2020,AME2020,0.1884,,,0.0025,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,128Te,128,127.904461237,7.58e-07,2020,AME2020,0.3174,,,0.0008,value,CIAAW 2024,CIAAW 2024,
52,Te,tellurium,130Te,130Te,130,129.906222745,1.1e-08,2020,AME2020,0.3408,,,0.006200000000000001,value,CIAAW 2024,CIAAW 2024,
53,I,iodine,127I,127I,127,126.904472592,3.887e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,124Xe,124,123.905885174,1.457e-06,2020,AME2020,0.00095,,,5e-05,value,CIAAW 2024,CIAAW 2024,g m
54,Xe,xenon,132Xe,126Xe,126,125.904297422,6e-09,2020,AME2020,0.00089,,,3.0000000000000004e-05,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,128Xe,128,127.90353075341,5.58e-09,2020,AME2020,0.0191,,,0.00013000000000000002,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,129Xe,129,128.90478085742,5.42e-09,2020,AME2020,0.26401,,,0.0013800000000000002,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,130Xe,130,129.903509346,1e-08,2020,AME2020,0.04071,,,0.00022,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,131Xe,131,130.90508412808,5.49e-09,2020,AME2020,0.21232,,,0.00051,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,132Xe,132,131.90415508346,5.44e-09,2020,AME2020,0.26909,,,0.00055,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,134Xe,134,133.90539303,6e-09,2020,AME2020,0.10436,,,0.00035000000000000005,value,CIAAW 2024,CIAAW 2024,
54,Xe,xenon,132Xe,136Xe,136,135.907214474,7e-09,2020,AME2020,0.08857,,,0.00072,value,CIAAW 2024,CIAAW 2024,
55,Cs,caesium,133Cs,133Cs,133,132.905451958,8e-09,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
56,Ba,barium,138Ba,130Ba,130,129.906326002,3.08e-07,2020,AME2020,0.0011,,,0.0001,value,CIAAW 2024,CIAAW 2024,
